Categoria,Nome do Produto,Descrição,Estoque Disponível,Preço Unitário (R$),Preço em USD ($),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Cooler/Resfriamento,Cooler/Resfriamento Deepcool Edition,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,50.0,3850.86,755.07,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5516.36
Cooler/Resfriamento,Cooler/Resfriamento Noctua Lite,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,67.0,2601.93,510.18,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3727.26
Cooler/Resfriamento,Cooler/Resfriamento Noctua Lite,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,20.0,1965.2,385.33,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2815.15
Cooler/Resfriamento,Cooler/Resfriamento Noctua,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,61.0,3000.14,588.26,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4297.7
Cooler/Resfriamento,Cooler/Resfriamento Noctua Plus,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,41.0,2096.11,411.0,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3002.68
Cooler/Resfriamento,Cooler/Resfriamento Thermaltake Edition,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,36.0,1878.34,368.3,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2690.72
Cooler/Resfriamento,Cooler/Resfriamento Thermaltake,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,68.0,2279.95,447.05,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3266.03
Cooler/Resfriamento,Cooler/Resfriamento Thermaltake Lite,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,69.0,2746.14,538.46,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3933.85
Cooler/Resfriamento,Cooler/Resfriamento Arctic,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,93.0,3790.37,743.21,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5429.71
Cooler/Resfriamento,Cooler/Resfriamento Arctic Pro,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,48.0,1720.7,337.39,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2464.9
Cooler/Resfriamento,Cooler/Resfriamento Arctic Plus,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,69.0,557.49,109.31,12%,"18,00%","4,00%","1,65%","7,60%",43.25,798.6
Monitor,Monitor AOC Pro,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,35.0,2679.47,525.39,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3838.34
Monitor,Monitor AOC Plus,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,59.0,1175.24,230.44,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1683.53
Monitor,Monitor AOC Lite,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,65.0,3003.2,588.86,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4302.08
Monitor,Monitor AOC,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,50.0,1426.57,279.72,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2043.56
Monitor,Monitor Samsung Gamer,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,54.0,4954.93,971.55,12%,"18,00%","4,00%","1,65%","7,60%",43.25,7097.94
Monitor,Monitor Samsung,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,74.0,1434.48,281.27,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2054.89
Monitor,Monitor Samsung Lite,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,15.0,1967.33,385.75,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2818.2
Monitor,Monitor LG Lite,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,64.0,2179.65,427.38,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3122.35
Monitor,Monitor LG Lite,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,49.0,3729.42,731.26,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5342.39
Monitor,Monitor Philips Pro,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,17.0,2387.13,468.06,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3419.56
Monitor,Monitor Philips Lite,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,18.0,1816.55,356.19,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2602.21
Monitor,Monitor Dell,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,31.0,811.04,159.03,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1161.81
Monitor,Monitor Dell,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,32.0,427.24,83.77,12%,"18,00%","4,00%","1,65%","7,60%",43.25,612.02
Periféricos,Periféricos Teclado Redragon,Acessório essencial para gamers e profissionais que buscam conforto e performance.,82.0,914.32,179.28,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1309.76
Periféricos,Periféricos Teclado Redragon Gamer,Acessório essencial para gamers e profissionais que buscam conforto e performance.,50.0,3848.54,754.62,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5513.03
Periféricos,Periféricos Mouse Logitech Gamer,Acessório essencial para gamers e profissionais que buscam conforto e performance.,18.0,500.12,98.06,12%,"18,00%","4,00%","1,65%","7,60%",43.25,716.42
Periféricos,Periféricos Mouse Logitech Pro,Acessório essencial para gamers e profissionais que buscam conforto e performance.,30.0,2694.91,528.41,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3860.46
Periféricos,Periféricos Headset HyperX Pro,Acessório essencial para gamers e profissionais que buscam conforto e performance.,55.0,4158.67,815.43,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5957.29
Periféricos,Periféricos Headset HyperX,Acessório essencial para gamers e profissionais que buscam conforto e performance.,36.0,1075.72,210.93,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1540.97
Periféricos,Periféricos Headset HyperX Plus,Acessório essencial para gamers e profissionais que buscam conforto e performance.,95.0,512.64,100.52,12%,"18,00%","4,00%","1,65%","7,60%",43.25,734.36
Periféricos,Periféricos Mousepad Razer Pro,Acessório essencial para gamers e profissionais que buscam conforto e performance.,48.0,614.96,120.58,12%,"18,00%","4,00%","1,65%","7,60%",43.25,880.93
Periféricos,Periféricos Mousepad Razer Pro,Acessório essencial para gamers e profissionais que buscam conforto e performance.,70.0,2983.3,584.96,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4273.58
Periféricos,Periféricos Mousepad Razer Gamer,Acessório essencial para gamers e profissionais que buscam conforto e performance.,74.0,1843.91,361.55,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2641.4
Periféricos,Periféricos Webcam Logitech Edition,Acessório essencial para gamers e profissionais que buscam conforto e performance.,68.0,968.12,189.83,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1386.83
Periféricos,Periféricos Webcam Logitech Edition,Acessório essencial para gamers e profissionais que buscam conforto e performance.,86.0,2057.63,403.46,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2947.55
Periféricos,Periféricos Webcam Logitech Edition,Acessório essencial para gamers e profissionais que buscam conforto e performance.,67.0,4648.54,911.48,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6659.03
Periféricos,Periféricos Microfone Fifine,Acessório essencial para gamers e profissionais que buscam conforto e performance.,75.0,3131.62,614.04,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4486.05
Periféricos,Periféricos Microfone Fifine Plus,Acessório essencial para gamers e profissionais que buscam conforto e performance.,10.0,2403.57,471.29,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3443.11
Periféricos,Periféricos Microfone Fifine Pro,Acessório essencial para gamers e profissionais que buscam conforto e performance.,74.0,3609.63,707.77,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5170.79
Placa de Rede,Placa de Rede TP-Link,Placa de rede de alta velocidade para conexões estáveis e rápidas.,24.0,1288.75,252.7,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1846.13
Placa de Rede,Placa de Rede TP-Link,Placa de rede de alta velocidade para conexões estáveis e rápidas.,43.0,975.78,191.33,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1397.8
Placa de Rede,Placa de Rede TP-Link Gamer,Placa de rede de alta velocidade para conexões estáveis e rápidas.,10.0,3198.07,627.07,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4581.24
Placa de Rede,Placa de Rede Intel Lite,Placa de rede de alta velocidade para conexões estáveis e rápidas.,96.0,2559.78,501.92,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3666.88
Placa de Rede,Placa de Rede Intel Gamer,Placa de rede de alta velocidade para conexões estáveis e rápidas.,79.0,2834.71,555.83,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4060.72
Placa de Rede,Placa de Rede Intel Pro,Placa de rede de alta velocidade para conexões estáveis e rápidas.,43.0,2546.64,499.34,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3648.06
Placa de Rede,Placa de Rede Intel Plus,Placa de rede de alta velocidade para conexões estáveis e rápidas.,37.0,895.15,175.52,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1282.3
Placa de Rede,Placa de Rede Asus Plus,Placa de rede de alta velocidade para conexões estáveis e rápidas.,46.0,158.83,31.14,12%,"18,00%","4,00%","1,65%","7,60%",43.25,227.52
Placa de Rede,Placa de Rede Asus Lite,Placa de rede de alta velocidade para conexões estáveis e rápidas.,99.0,3324.08,651.78,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4761.74
Placa de Rede,Placa de Rede D-Link Lite,Placa de rede de alta velocidade para conexões estáveis e rápidas.,34.0,4299.12,842.96,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6158.49
Placa de Rede,Placa de Rede D-Link Lite,Placa de rede de alta velocidade para conexões estáveis e rápidas.,82.0,1584.25,310.64,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2269.44
Placa de Rede,Placa de Rede D-Link,Placa de rede de alta velocidade para conexões estáveis e rápidas.,42.0,1095.6,214.82,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1569.45
Notebook,Notebook Dell Inspiron Gamer,"Notebook com boa performance para estudos, trabalho e entretenimento.",100.0,4029.56,790.11,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5772.34
Notebook,Notebook Dell Inspiron Pro,"Notebook com boa performance para estudos, trabalho e entretenimento.",18.0,3231.98,633.72,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4629.81
Notebook,Notebook Lenovo IdeaPad Lite,"Notebook com boa performance para estudos, trabalho e entretenimento.",95.0,4416.46,865.97,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6326.58
Notebook,Notebook Lenovo IdeaPad Pro,"Notebook com boa performance para estudos, trabalho e entretenimento.",44.0,4194.64,822.48,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6008.82
Notebook,Notebook Lenovo IdeaPad Pro,"Notebook com boa performance para estudos, trabalho e entretenimento.",95.0,2547.69,499.55,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3649.57
Notebook,Notebook Acer Nitro,"Notebook com boa performance para estudos, trabalho e entretenimento.",87.0,3971.5,778.73,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5689.17
Notebook,Notebook Acer Nitro,"Notebook com boa performance para estudos, trabalho e entretenimento.",51.0,4461.71,874.85,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6391.4
Notebook,Notebook Acer Nitro,"Notebook com boa performance para estudos, trabalho e entretenimento.",60.0,2623.5,514.41,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3758.16
Notebook,Notebook Acer Nitro,"Notebook com boa performance para estudos, trabalho e entretenimento.",80.0,3327.48,652.45,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4766.62
Notebook,Notebook Asus VivoBook Pro,"Notebook com boa performance para estudos, trabalho e entretenimento.",81.0,2688.98,527.25,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3851.96
Notebook,Notebook Asus VivoBook Lite,"Notebook com boa performance para estudos, trabalho e entretenimento.",22.0,3896.88,764.09,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5582.28
Console e Jogos,Console e Jogos PlayStation 5,Console de última geração para uma experiência imersiva em jogos.,50.0,3545.22,695.14,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5078.53
Console e Jogos,Console e Jogos PlayStation 5 Lite,Console de última geração para uma experiência imersiva em jogos.,10.0,2015.65,395.23,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2887.42
Console e Jogos,Console e Jogos Xbox Series X Lite,Console de última geração para uma experiência imersiva em jogos.,63.0,4533.95,889.01,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6494.88
Mesa Gamer,Mesa Gamer Fortrek Pro,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Fortrek Xtreme,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Fortrek Pro,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Fortrek Xtreme,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Fortrek LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Fortrek RGB,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Xtrike Pro,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Xtrike Pro,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Xtrike RGB,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Xtrike LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Xtrike RGB,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Xtrike Xtreme,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Redragon LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Redragon LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Redragon Xtreme,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Redragon LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Redragon RGB,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer Redragon LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer DT3 Sports RGB,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer DT3 Sports Xtreme,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer DT3 Sports Xtreme,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer DT3 Sports RGB,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer DT3 Sports LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Mesa Gamer,Mesa Gamer DT3 Sports LED,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor ELG Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor ELG Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor ELG Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor ELG Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor ELG Ajustável,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor ELG Ajustável,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Multivisão Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Multivisão Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Multivisão Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Multivisão Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Multivisão Ajustável,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Multivisão Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Fellowes Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Fellowes Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Fellowes Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Fellowes Ajustável,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Fellowes Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor Fellowes Articulado,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor PCYes Ajustável,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor PCYes Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor PCYes Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor PCYes Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor PCYes Ajustável,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Suporte de Monitor,Suporte de Monitor PCYes Duplo,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Processador,Processador AMD Ryzen 9 Pro v6,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,16.0,4342.18,851.41,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6220.17
Placa de Rede,Placa de Rede D-Link Lite v4,Placa de rede de alta velocidade para conexões estáveis e rápidas.,34.0,4299.12,842.96,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6158.49
Mesa Gamer,Mesa Gamer Xtrike LED v8,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Fonte,Fonte Cooler Master Gamer v4,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,86.0,1028.14,201.6,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1472.81
Placa de Rede,Placa de Rede Asus Plus v5,Placa de rede de alta velocidade para conexões estáveis e rápidas.,46.0,158.83,31.14,12%,"18,00%","4,00%","1,65%","7,60%",43.25,227.52
Periféricos,Periféricos Webcam Logitech Edition v3,Acessório essencial para gamers e profissionais que buscam conforto e performance.,86.0,2057.63,403.46,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2947.55
Armazenamento,Armazenamento Kingston SSD Pro v4,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,64.0,4795.27,940.25,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6869.22
Monitor,Monitor LG Lite v7,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,64.0,2179.65,427.38,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3122.35
Suporte de Monitor,Suporte de Monitor Fellowes Articulado v2,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Placa de Rede,Placa de Rede D-Link v7,Placa de rede de alta velocidade para conexões estáveis e rápidas.,42.0,1095.6,214.82,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1569.45
Cooler/Resfriamento,Cooler/Resfriamento Cooler Master v4,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,76.0,2550.87,500.17,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3654.12
Processador,Processador Intel Core i9 Lite v7,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,86.0,671.97,131.76,12%,"18,00%","4,00%","1,65%","7,60%",43.25,962.6
Suporte de Monitor,Suporte de Monitor Fellowes Duplo v3,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Processador,Processador AMD Ryzen 5 Edition v3,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,92.0,1566.26,307.11,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2243.67
Gabinete,Gabinete Thermaltake Plus v5,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",81.0,3232.68,633.86,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4630.81
Processador,Processador AMD Ryzen 7 Lite v5,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,54.0,3676.52,720.89,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5266.61
Cooler/Resfriamento,Cooler/Resfriamento Thermaltake Edition v3,Sistema de resfriamento eficaz para manter seu processador em temperatura ideal.,36.0,1878.34,368.3,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2690.72
Suporte de Monitor,Suporte de Monitor Fellowes Articulado v9,"Suporte ajustável para monitores, melhorando ergonomia e organização da mesa.",,,,,,,,,,
Gabinete,Gabinete Thermaltake Plus v5 v7,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",81.0,3232.68,633.86,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4630.81
Mesa Gamer,Mesa Gamer Xtrike RGB v3,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Memória RAM,Memória RAM Corsair Gamer v8,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,61.0,3279.17,642.97,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4697.41
Placa de Rede,Placa de Rede TP-Link v3,Placa de rede de alta velocidade para conexões estáveis e rápidas.,43.0,975.78,191.33,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1397.8
Processador,Processador Intel Core i3 Gamer v4,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,21.0,2631.26,515.93,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3769.28
Placa de Rede,Placa de Rede TP-Link v3 v6,Placa de rede de alta velocidade para conexões estáveis e rápidas.,43.0,975.78,191.33,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1397.8
Fonte,Fonte Cooler Master Pro v5,Fonte de alimentação eficiente com proteção contra surtos e energia estável.,100.0,989.31,193.98,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1417.19
Armazenamento,Armazenamento Kingston SSD Lite v2,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,26.0,113.39,22.23,12%,"18,00%","4,00%","1,65%","7,60%",43.25,162.43
Armazenamento,Armazenamento Seagate HDD v9,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,50.0,2069.01,405.69,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2963.86
Monitor,Monitor Samsung v4,Monitor com alta resolução e taxa de atualização para produtividade e jogos.,74.0,1434.48,281.27,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2054.89
Periféricos,Periféricos Teclado Redragon Gamer v3,Acessório essencial para gamers e profissionais que buscam conforto e performance.,50.0,3848.54,754.62,12%,"18,00%","4,00%","1,65%","7,60%",43.25,5513.03
Periféricos,Periféricos Mouse Logitech Gamer v4,Acessório essencial para gamers e profissionais que buscam conforto e performance.,18.0,500.12,98.06,12%,"18,00%","4,00%","1,65%","7,60%",43.25,716.42
Periféricos,Periféricos Webcam Logitech Edition v4,Acessório essencial para gamers e profissionais que buscam conforto e performance.,68.0,968.12,189.83,12%,"18,00%","4,00%","1,65%","7,60%",43.25,1386.83
Processador,Processador Intel Core i9 Lite v5,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,33.0,2642.48,518.13,12%,"18,00%","4,00%","1,65%","7,60%",43.25,3785.35
Mesa Gamer,Mesa Gamer Fortrek Xtreme v3,"Mesa com estrutura reforçada, ideal para setups gamers com LEDs e ergonomia.",,,,,,,,,,
Processador,Processador Intel Core i3 Edition v8,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,56.0,3376.87,662.13,12%,"18,00%","4,00%","1,65%","7,60%",43.25,4837.37
Placa-Mãe,Placa-Mãe Biostar Pro v7,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,12.0,4355.18,853.96,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6238.8
Armazenamento,Armazenamento Kingston SSD Lite v5,Dispositivo de armazenamento rápido e confiável para guardar arquivos e jogos.,26.0,113.39,22.23,12%,"18,00%","4,00%","1,65%","7,60%",43.25,162.43
Gabinete,Gabinete Redragon Gamer v5,"Gabinete com design moderno, excelente ventilação e compatibilidade com placas ATX.",38.0,4659.85,913.7,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6675.24
Periféricos,Periféricos Webcam Logitech Edition v4,Acessório essencial para gamers e profissionais que buscam conforto e performance.,86.0,2057.63,403.46,12%,"18,00%","4,00%","1,65%","7,60%",43.25,2947.55
Processador,Processador AMD Ryzen 9 Pro v6 v7,Processador de alto desempenho ideal para tarefas exigentes e jogos modernos.,16.0,4342.18,851.41,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6220.17
Placa-Mãe,Placa-Mãe Biostar Pro v6,Placa-mãe compatível com os principais processadores e suporte a múltiplos dispositivos.,12.0,4355.18,853.96,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6238.8
Notebook,Notebook Lenovo IdeaPad Pro v7,"Notebook com boa performance para estudos, trabalho e entretenimento.",44.0,4194.64,822.48,12%,"18,00%","4,00%","1,65%","7,60%",43.25,6008.82
Memória RAM,Memória RAM G.Skill Lite v2,Módulo de memória RAM de alta velocidade para multitarefa e desempenho aprimorado.,75.0,231.97,45.48,12%,"18,00%","4,00%","1,65%","7,60%",43.25,332.3
